ROI,x,y,z,hemisphere,lobe
135,14.08,56.69,-16.68,R,Prefrontal
136,9.58,17.58,-19.53,R,Prefrontal
137,5.27,35.03,-17.53,R,Prefrontal
138,15.65,34.19,-22.54,R,Prefrontal
139,8.29,46.06,-1.69,R,Prefrontal
140,14.58,64.75,3.68,R,Prefrontal
141,30.43,54.78,-3.32,R,Prefrontal
142,44.47,46.1,-4.92,R,Prefrontal
143,28.81,51.14,18.75,R,Prefrontal
144,8.52,53.28,23.89,R,Prefrontal
145,37.63,35.44,31.1,R,Prefrontal
146,14.58,36.74,49.11,R,Prefrontal
147,24.03,30.71,36.4,R,Prefrontal
148,40.59,14.59,48.28,R,Prefrontal
149,6.81,21.45,31.41,R,Prefrontal
150,53.6,24.85,0.89,R,Prefrontal
151,33.42,37.28,-16.39,R,Prefrontal
152,26.56,19.55,-21.32,R,Prefrontal
153,48.17,35.81,15.18,R,Prefrontal
154,37.05,20.8,6.0,R,Prefrontal
155,55.34,9.6,22.03,R,Prefrontal
156,39.93,17.65,29.11,R,Prefrontal
157,57.76,-8.17,27.18,R,Motor
158,6.15,-22.18,65.57,R,Motor
159,7.0,-8.03,53.02,R,Motor
160,26.36,-12.97,66.17,R,Motor
161,49.22,-4.46,47.96,R,Motor
162,6.26,14.01,48.64,R,Motor
163,13.78,6.36,65.39,R,Motor
164,25.24,12.38,49.44,R,Motor
165,39.82,3.48,34.07,R,Motor
166,32.17,-5.32,51.84,R,Motor
167,41.99,-23.26,53.38,R,Motor
168,41.81,4.86,-7.54,R,Motor
169,41.32,3.52,7.26,R,Motor
170,37.65,21.22,-10.09,R,Motor
171,38.26,-12.4,-1.15,R,Motor
172,32.55,-39.11,49.53,R,Motor
173,20.05,-33.28,69.69,R,Insula
174,43.31,-10.87,13.83,R,Insula
175,25.3,-52.37,67.98,R,Insula
176,14.65,-68.43,35.0,R,Insula
177,31.58,-60.74,49.28,R,Insula
178,7.56,-57.28,61.78,R,Parietal
179,52.95,-27.27,40.81,R,Parietal
180,57.97,-29.27,19.6,R,Parietal
181,54.18,-45.25,37.04,R,Parietal
182,47.79,-61.56,34.71,R,Parietal
183,41.39,-75.34,27.92,R,Parietal
184,48.87,-58.01,14.3,R,Parietal
185,27.18,11.62,-39.15,R,Parietal
186,40.02,19.0,-34.24,R,Parietal
187,52.88,10.85,-21.83,R,Parietal
188,50.02,-33.92,-0.67,R,Parietal
189,61.29,-22.84,-22.51,R,Parietal
190,54.53,-7.74,-31.51,R,Parietal
191,46.89,3.94,-39.88,R,Parietal
192,40.27,-11.11,-35.81,R,Parietal
193,43.49,-26.28,-24.72,R,Parietal
194,31.51,0.65,-44.42,R,Parietal
195,59.16,-3.32,2.67,R,Parietal
196,39.79,-25.64,14.45,R,Parietal
197,61.87,-23.61,-2.74,R,Temporal
198,56.46,-8.56,-14.3,R,Temporal
199,59.24,-43.73,8.62,R,Temporal
200,46.51,-59.8,-14.72,R,Temporal
201,36.57,-69.28,-17.44,R,Temporal
202,25.13,-44.53,-12.2,R,Temporal
203,55.26,-56.28,-4.8,R,Temporal
204,60.8,-43.38,-17.65,R,Temporal
205,41.68,-45.65,-22.58,R,Temporal
206,20.96,-63.6,-9.01,R,Temporal
207,30.11,-83.01,20.47,R,Temporal
208,45.12,-74.23,2.6,R,Temporal
209,18.95,-81.84,41.54,R,Temporal
210,18.04,-83.39,-11.25,R,Temporal
211,8.02,-74.84,24.79,R,Temporal
212,23.66,-95.88,6.63,R,Temporal
213,7.18,-75.58,-2.84,R,Temporal
214,8.34,-88.45,12.17,R,Temporal
215,31.0,-91.9,-10.8,R,Temporal
216,14.87,-68.42,8.28,R,Temporal
217,8.04,34.71,17.2,R,Occipital
218,5.54,-0.89,35.52,R,Occipital
219,5.36,-39.11,26.89,R,Occipital
220,12.37,-57.19,18.02,R,Occipital
221,28.38,-53.86,7.0,R,Occipital
222,7.31,-18.89,30.01,R,Occipital
223,8.05,-22.92,44.99,R,Occipital
224,6.33,-57.19,38.09,R,Occipital
225,8.38,-39.78,48.1,R,Occipital
226,31.23,3.68,-21.72,R,Occipital
227,28.75,-36.86,-0.1,R,Occipital
228,35.63,-14.69,-18.43,R,Occipital
229,28.02,-28.48,-13.67,R,Occipital
230,29.34,-19.65,-26.37,R,Occipital
231,24.57,-2.63,-30.74,R,Occipital
232,14.6,-46.15,2.8,R,Occipital
233,19.22,-7.66,-14.84,R,Occipital
234,32.23,-78.47,-40.41,R,Occipital
235,6.49,-50.61,-12.18,R,Limbic
236,38.87,-74.91,-29.59,R,Limbic
237,13.61,-40.11,-25.34,R,Limbic
238,23.47,-35.96,-42.92,R,Limbic
239,7.17,-68.14,-37.65,R,Limbic
240,7.48,-68.81,-20.83,R,Limbic
241,45.84,-46.37,-42.53,R,Limbic
242,16.19,-47.28,-52.56,R,Limbic
243,23.49,-59.18,-52.2,R,Limbic
244,21.05,-54.86,-23.74,R,Limbic
245,11.77,-84.16,-34.71,R,Subcortical
246,19.76,-73.49,-50.13,R,Subcortical
247,36.79,-57.13,-32.79,R,Subcortical
248,22.98,-71.93,-29.12,R,Subcortical
249,7.74,-56.63,-50.81,R,Subcortical
250,42.06,-64.01,-49.18,R,Subcortical
251,7.24,-53.7,-34.33,R,Subcortical
252,33.81,-47.33,-54.06,R,Subcortical
253,30.33,-36.39,-31.09,R,Subcortical
254,21.29,-36.39,22.4,R,Subcortical
255,12.76,13.0,11.34,R,Subcortical
256,14.11,-4.32,20.87,R,Cerebellum
257,12.59,20.11,-0.81,R,Cerebellum
258,26.66,6.38,0.03,R,Cerebellum
259,14.27,8.51,-9.56,R,Cerebellum
260,10.66,-26.85,-1.99,R,Cerebellum
261,12.38,-27.81,13.42,R,Cerebellum
262,5.69,-9.83,4.9,R,Cerebellum
263,4.97,-37.24,-53.04,R,Cerebellum
264,9.87,-18.8,-30.67,R,Cerebellum
265,6.25,-22.2,-42.24,R,Cerebellum
266,6.51,-24.76,-17.48,R,Cerebellum
267,7.68,-34.18,-37.23,R,Cerebellum
268,-5.23,29.2,-9.92,R,Cerebellum
