ROI,x,y,z
207,-25.91,-63.22,-12.24
208,-16.53,-84.95,33.1
209,-48.18,-67.21,1.0
210,-35.97,-84.07,-3.95
211,-8.88,-70.61,-1.75
212,-10.61,-98.15,7.68
213,-14.58,-83.96,-12.99
214,-22.18,-96.74,-10.03
215,-5.73,-81.33,12.16
216,-22.08,-66.7,7.45
217,-23.65,-41.29,19.86
218,-7.54,-22.31,46.19
219,-5.79,34.17,26.29
220,-3.43,-4.93,32.64
221,-4.98,13.27,28.6
222,-8.46,-58.91,17.62
223,-4.94,-36.08,32.03
224,-7.31,-18.32,29.97
225,-6.45,-54.26,37.4
226,-8.73,-42.78,50.25
227,-7.46,-42.13,13.4
228,-26.71,2.3,-18.58
229,-21.52,-36.99,5.77
230,-32.13,-40.14,-3.96
231,-22.78,-12.65,-17.31
232,-35.66,-24.82,-14.96
233,-20.73,-30.76,-11.18
234,-30.56,-23.92,-26.69
235,-21.52,-4.1,-29.34
236,-6.28,-66.27,-37.7
237,-8.56,-50.71,-39.5
238,-36.95,-52.91,-31.22
239,-8.65,-55.19,-52.12
240,-21.26,-70.03,-48.98
241,-39.91,-74.52,-29.01
242,-30.28,-80.13,-40.43
243,-19.39,-46.45,-53.21
244,-6.24,-50.14,-11.19
245,-27.79,-35.97,-30.81
246,-42.69,-63.75,-46.33
247,-10.27,-81.7,-32.28
248,-7.77,-68.46,-19.86
249,-34.74,-50.33,-54.07
250,-22.84,-58.08,-48.76
251,-10.14,-37.64,-25.03
252,-46.45,-46.84,-42.94
253,-26.42,-69.58,-30.63
254,-21.36,-53.44,-23.63
255,-6.45,-54.69,-26.18
256,-24.26,-37.75,-44.24
257,-10.7,23.62,9.65
258,-12.36,11.55,8.48
259,-10.39,10.87,-8.07
260,-14.5,-3.56,20.94
261,-24.77,5.54,-0.07
262,-9.5,-25.46,-1.4
263,-4.68,-10.24,5.88
264,-11.41,-25.56,14.88
265,-4.82,-21.51,-15.89
266,-4.23,-37.9,-53.27
267,-6.94,-33.13,-39.35
268,-5.7,-18.97,-36.82
